category,title,slug,material_type,status,priority,official_title_or_number,source_url,notes
Objektivat për Integrimin në BE,Lista e plotë e të gjitha objektivave që Kosova duhet të plotësojë për anëtarësim,lista-e-plote-e-te-gjitha-objektivave-qe-kosova-duhet-te-plotesoje-per-anetaresim,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Lista%20e%20plot%C3%AB%20e%20t%C3%AB%20gjitha%20objektivave%20q%C3%AB%20Kosova%20duhet%20t%C3%AB%20plot%C3%ABsoj%C3%AB%20p%C3%ABr%20an%C3%ABtar%C3%ABsim&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,"Për secilin objektiv: emri, përshkrimi, kushtet, statusi (i plotësuar / i paplotësuar), data e plotësimit, burimi zyrtar",per-secilin-objektiv-emri-pershkrimi-kushtet-statusi-i-plotesuar-i-paplotesuar-data-e-plot,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=P%C3%ABr%20secilin%20objektiv%3A%20emri%2C%20p%C3%ABrshkrimi%2C%20kushtet%2C%20statusi%20%28i%20plot%C3%ABsuar%20/%20i%20paplot%C3%ABsuar%29%2C%20data%20e%20plot%C3%ABsimit%2C%20burimi%20zyrtar&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,35 kapitujt e negociatave (Acquis Communautaire) — statusi për secilin,35-kapitujt-e-negociatave-acquis-communautaire-statusi-per-secilin,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=35%20kapitujt%20e%20negociatave%20%28Acquis%20Communautaire%29%20%E2%80%94%20statusi%20p%C3%ABr%20secilin&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,Kriteret e Kopenhagenit,kriteret-e-kopenhagenit,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Kriteret%20e%20Kopenhagenit&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,Roadmap-i për liberalizim vizash (95 kriteret),roadmap-i-per-liberalizim-vizash-95-kriteret,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Roadmap-i%20p%C3%ABr%20liberalizim%20vizash%20%2895%20kriteret%29&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,MSA — Marrëveshja e Stabilizim-Asociimit,msa-marreveshja-e-stabilizim-asociimit,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=MSA%20%E2%80%94%20Marr%C3%ABveshja%20e%20Stabilizim-Asociimit&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,Aplikimi për statusin e vendit kandidat,aplikimi-per-statusin-e-vendit-kandidat,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Aplikimi%20p%C3%ABr%20statusin%20e%20vendit%20kandidat&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,Kapitulli 23 — Sundimi i Ligjit,kapitulli-23-sundimi-i-ligjit,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Kapitulli%2023%20%E2%80%94%20Sundimi%20i%20Ligjit&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,"Kapitulli 24 — Drejtësia, Liria, Siguria",kapitulli-24-drejtesia-liria-siguria,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Kapitulli%2024%20%E2%80%94%20Drejt%C3%ABsia%2C%20Liria%2C%20Siguria&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,Reforma e Administratës Publike,reforma-e-administrates-publike,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Reforma%20e%20Administrat%C3%ABs%20Publike&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,Kriteret Ekonomike,kriteret-ekonomike,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Kriteret%20Ekonomike&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,Kriteret Demokratike,kriteret-demokratike,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Kriteret%20Demokratike&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,Përafrimi me Acquis Communautaire,perafrimi-me-acquis-communautaire,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=P%C3%ABrafrimi%20me%20Acquis%20Communautaire&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,"Njohja nga 5 shtetet anëtare të BE-së (Spanja, Greqia, Rumania, Sllovakia, Qipro)",njohja-nga-5-shtetet-anetare-te-be-se-spanja-greqia-rumania-sllovakia-qipro,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Njohja%20nga%205%20shtetet%20an%C3%ABtare%20t%C3%AB%20BE-s%C3%AB%20%28Spanja%2C%20Greqia%2C%20Rumania%2C%20Sllovakia%2C%20Qipro%29&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
Objektivat për Integrimin në BE,Dialogu Kosovë–Serbi,dialogu-kosoveserbi,eu_objective,to_collect,high,,https://gzk.rks-gov.net/SearchIn.aspx?Index=2&s=Dialogu%20Kosov%C3%AB%E2%80%93Serbi&so=1,"Burimi parësor për ligje: Gazeta Zyrtare. Duhet verifikuar titulli zyrtar, statusi, amendamentet dhe aktet nënligjore."
